words,count_up,count_down,total,polarity_score
콜시장/NNG,12.0,47.0,59.0,0.3535681848114624
위험가중치/NNG,16.0,40.0,56.0,0.5539234895379578
경합/NNG,10.0,27.0,37.0,0.5128921199425535
중구/NNG,33.0,136.0,169.0,0.33601976387412885
지지층/NNG,4.0,18.0,22.0,0.30773527196553213
한국자금중개/NNG,14.0,35.0,49.0,0.5539234895379577
니케/NNG,15.0,34.0,49.0,0.6109450252256888
소비/NNG;부진/NNG,14.0,29.0,43.0,0.6685283494423628
개장/NNG,163.0,393.0,556.0,0.5743608701952106
징계/NNG,6.0,29.0,35.0,0.28651214976101264
어렵/VV,265.0,500.0,765.0,0.7339486236377941
첨부/NNG,6.0,20.0,26.0,0.4154426171534683
자금난/NNG,18.0,37.0,55.0,0.6736907305191379
일축/NNG,23.0,44.0,67.0,0.7238772874643767
고수/NNG,42.0,83.0,125.0,0.7007465831504286
예대마진/NNG,30.0,57.0,87.0,0.7288466967604708
던지/VV,12.0,22.0,34.0,0.7553502130063061
현금결제/NNG,7.0,13.0,20.0,0.7456662359164816
자동차금융/NNG,33.0,77.0,110.0,0.5934894530763833
적립/NNG,86.0,163.0,249.0,0.7306352776114167
기대/NNG;금리/NNG;인하/NNG,3.0,17.0,20.0,0.2443780100902755
국제통화/NNG,4.0,20.0,24.0,0.2769617447689789
라운드/NNG,3.0,21.0,24.0,0.19782981769212776
스튜디오/NNG,9.0,21.0,30.0,0.5934894530763833
현선물/NNG,22.0,40.0,62.0,0.761644798114692
일반기업/NNG,16.0,57.0,73.0,0.3887182382722511
정주/NNG,4.0,16.0,20.0,0.3462021809612236
랩어카운트/NNG,2.0,20.0,22.0,0.13848087238448945
실상/NNG,5.0,21.0,26.0,0.329716362820213
대출비율/NNG,10.0,31.0,41.0,0.44671249156286913
내수산업/NNG,5.0,20.0,25.0,0.34620218096122357
민자발전/NNG,10.0,30.0,40.0,0.4616029079482982
순이자마진/NNG,81.0,149.0,230.0,0.7528154807478957
물품/NNG,10.0,21.0,31.0,0.659432725640426
비상금/NNG,6.0,28.0,34.0,0.29674472653819167
시세/NNG,72.0,211.0,283.0,0.47254136548261805
암시/NNG,31.0,58.0,89.0,0.740156386882616
경제/NNG;활성화/NNG,17.0,34.0,51.0,0.6924043619224473
물가/NNG;상승률/NNG;상승/NNG,6.0,12.0,18.0,0.6924043619224473
時差/NNG,1.0,26.0,27.0,0.053261873994034405
금리/NNG;인하/NNG;기대/NNG;과도/NNG,2.0,25.0,27.0,0.11078469790759156
캡티브/NNG,21.0,85.0,106.0,0.3421292141263857
민간기업/NNG,23.0,49.0,72.0,0.6500122581312769
주담/NNG,6.0,16.0,22.0,0.5193032714418354
대중교통/NNG,7.0,27.0,34.0,0.3590244839597874
순매수우위/NNG,5.0,16.0,21.0,0.4327527262015295
고시금리/NNG,17.0,49.0,66.0,0.480443842966596
가시권/NNG,5.0,16.0,21.0,0.4327527262015295
캐쉬백/NNG,25.0,90.0,115.0,0.38466908995691507
주목도/NNG,6.0,15.0,21.0,0.5539234895379578
安定/NNG,1.0,18.0,19.0,0.07693381799138303
외형/NNG;성장/NNG,11.0,21.0,32.0,0.7253759982044686
그림자/NNG,9.0,17.0,26.0,0.7331340302708266
이행/NNG,115.0,230.0,345.0,0.6924043619224473
장애/NNG,17.0,39.0,56.0,0.6036345719323899
건너/VV,5.0,13.0,18.0,0.532618739940344
수출/NNG;제한/NNG,6.0,14.0,20.0,0.5934894530763833
점포/NNG,9.0,49.0,58.0,0.2543526227470214
세무/NNG,3.0,14.0,17.0,0.29674472653819167
기일/NNG,11.0,20.0,31.0,0.761644798114692
물류센터/NNG,23.0,135.0,158.0,0.23593037517357462
거버넌스/NNG,5.0,26.0,31.0,0.266309369970172
대중화/NNG,4.0,17.0,21.0,0.325837346787034
재미있/VA,16.0,32.0,48.0,0.6924043619224473
퇴출/NNG,19.0,50.0,69.0,0.5262273150610599
장부가/NNG,10.0,28.0,38.0,0.49457454423031944
분열/NNG,11.0,25.0,36.0,0.6093158384917536
선진시장/NNG,18.0,44.0,62.0,0.5665126597547296
인원/NNG,17.0,44.0,61.0,0.5350397342128002
계약금융/NNG,31.0,84.0,115.0,0.5110603623713301
시기상조/NNG,40.0,75.0,115.0,0.738564652717277
관망세/NNG,124.0,254.0,378.0,0.676048353373098
알려졌/VV,95.0,188.0,283.0,0.6997703657726861
공모발행/NNG,6.0,19.0,25.0,0.43730801805628244
타협안/NNG,2.0,15.0,17.0,0.1846411631793193
절반/NNG,156.0,297.0,453.0,0.7273742791912577
찬반/NNG,7.0,16.0,23.0,0.6058538166821413
대차대조표/NNG;축소/NNG,4.0,23.0,27.0,0.24083629979911209
