,word,positive_count,negative_count,total
1041,케이스,6,19,25
1043,붙,32,86,118
1045,인수,187,253,440
1046,해외,718,1149,1867
1049,시설,120,297,417
1051,외부,185,237,422
1052,수익성,263,390,653
1053,인해,481,854,1335
1054,이자보상배율,29,56,85
1055,영업이익률,38,71,109
1056,연결기준,63,59,122
1057,표준,14,25,39
1058,재,381,687,1068
1059,수치,236,472,708
1061,차입금,94,254,348
1063,매출액,162,210,372
1064,미만,138,363,501
1065,거리,58,98,156
1066,두,235,381,616
1068,자회사,83,136,219
1069,지분,178,258,436
1070,오토,110,68,178
1074,사업부,15,23,38
1075,감가상각비,10,5,15
1076,산출,58,108,166
1077,도와,7,27,34
1078,유형,48,94,142
1080,차,128,192,320
1084,커지,226,478,704
1085,중수익,2,15,17
1086,미달,28,45,73
1087,손익,211,80,291
1088,현금흐름,30,68,98
1091,창출,62,98,160
1092,현금,129,273,402
1093,자금,1284,2550,3834
1094,충당,15,26,41
1095,경감,43,107,150
1096,초과,228,315,543
1097,SK그룹,6,14,20
1099,짐,38,52,90
1101,수요예측,639,854,1493
1102,초,211,327,538
1103,매출,353,651,1004
1104,인한,340,511,851
1105,커서,9,12,21
1106,커졌,97,185,282
1107,마진,39,79,118
1109,약간,40,79,119
1110,못,117,241,358
1111,보였으나,53,75,128
1112,영업이익,295,307,602
1113,경쟁,160,301,461
1114,심화,239,297,536
1115,원자재,335,366,701
1116,불리,63,100,163
1117,제약요인,22,31,53
1118,이루,80,109,189
1119,동일,157,264,421
1121,이자비용,85,152,237
1122,위치,76,174,250
1123,건전성,233,352,585
1124,향상,34,89,123
1125,발행자,11,17,28
1127,부과,119,168,287
1128,서명,6,10,16
1129,이벤트,280,573,853
1130,보합,118,205,323
1131,알려,27,42,69
1132,초장기물,52,55,107
1133,마감,791,1506,2297
1134,크레딧채권,170,274,444
1135,월간,130,169,299
1136,단위,456,565,1021
1137,국채,2150,2991,5141
1138,특수채,822,889,1711
1139,은행채,1021,988,2009
1140,여전채,746,749,1495
1141,동월,144,205,349
1142,특수,128,240,368
1143,여전,220,260,480
1144,전주,362,441,803
1145,크레딧스프레드,293,497,790
1146,전,906,1487,2393
1147,발행시장,178,184,362
1148,분위기,303,456,759
1149,기관,771,1311,2082
1150,오버,20,57,77
1151,부킹,9,20,29
1152,SK하이닉스,79,275,354
1153,증액,153,270,423
1154,민,49,86,135
1155,평대,25,36,61
1156,언더,39,75,114
1157,효성,73,57,130
1158,한라홀딩스,14,57,71
1159,이외,84,204,288
1160,한국증권금융,8,33,41
1161,한국투자증권,123,164,287
1162,LG하우시스,11,22,33
1163,주목,423,931,1354
1164,종목명,91,146,237
1165,발행일,56,88,144
1166,만기금액,81,98,179
1167,참여금액,12,15,27
1168,밴드,149,175,324
1169,하이트진로,27,26,53
1170,운영,461,778,1239
1171,차환,199,379,578
1172,신한은행,121,187,308
1173,갑,2,42,44
1174,국,57,120,177
1175,고민,112,222,334
1176,두산,64,156,220
1177,금감원,106,233,339
1178,전자공시,87,106,193
1179,시스템,191,403,594
1180,대상기업,18,51,69
1181,발행사,38,44,82
1182,회차,30,45,75
1183,예측금액,22,33,55
1184,후순위채,28,29,57
1185,발행금액,170,243,413
1186,유효경쟁,115,66,181
1187,달할,19,28,47
1188,흥행,88,156,244
1189,최초,125,255,380
1190,예정,759,1438,2197
1191,금액,279,562,841
1192,섹터별,77,81,158
1193,세부,86,178,264
1194,순발행,498,472,970
1195,순상환,81,124,205
1196,한전,27,62,89
1197,한국도로공사,4,11,15
1198,진공,6,48,54
1199,여수,20,15,35
1201,공사,172,270,442
1202,한국장학재단,4,14,18
1203,한국토지주택공사,8,15,23
1204,특수은행,23,38,61
1205,산업은행,122,121,243
1206,중소기업은행,6,12,18
1207,수출입은행,30,36,66
1208,시중은행,153,312,465
1209,카드채,159,245,404
1210,캐피탈채,162,247,409
1211,현황,434,541,975
1212,조원,793,862,1655
1213,거래대금,152,244,396
1214,발행물,72,89,161
1215,거래,1187,2662,3849
1216,포함,452,722,1174
1217,전전주,10,16,26
1218,종목별,41,80,121
