,범례명,기준금리
705,2015-12-07,1.5
706,2015-12-08,1.5
707,2015-12-09,1.5
708,2015-12-10,1.5
709,2015-12-11,1.5
710,2015-12-12,1.5
711,2015-12-13,1.5
712,2015-12-14,1.5
713,2015-12-15,1.5
714,2015-12-16,1.5
715,2015-12-17,1.5
716,2015-12-18,1.5
717,2015-12-19,1.5
718,2015-12-20,1.5
719,2015-12-21,1.5
720,2015-12-22,1.5
721,2015-12-23,1.5
722,2015-12-24,1.5
723,2015-12-25,1.5
724,2015-12-26,1.5
725,2015-12-27,1.5
726,2015-12-28,1.5
727,2015-12-29,1.5
728,2015-12-30,1.5
729,2015-12-31,1.5
730,2016-01-01,1.5
731,2016-01-02,1.5
732,2016-01-03,1.5
733,2016-01-04,1.5
734,2016-01-05,1.5
735,2016-01-06,1.5
736,2016-01-07,1.5
737,2016-01-08,1.5
738,2016-01-09,1.5
739,2016-01-10,1.5
740,2016-01-11,1.5
741,2016-01-12,1.5
742,2016-01-13,1.5
743,2016-01-14,1.5
744,2016-01-15,1.5
745,2016-01-16,1.5
746,2016-01-17,1.5
747,2016-01-18,1.5
748,2016-01-19,1.5
749,2016-01-20,1.5
750,2016-01-21,1.5
751,2016-01-22,1.5
752,2016-01-23,1.5
753,2016-01-24,1.5
754,2016-01-25,1.5
755,2016-01-26,1.5
756,2016-01-27,1.5
757,2016-01-28,1.5
758,2016-01-29,1.5
759,2016-01-30,1.5
760,2016-01-31,1.5
761,2016-02-01,1.5
762,2016-02-02,1.5
763,2016-02-03,1.5
764,2016-02-04,1.5
765,2016-02-05,1.5
766,2016-02-06,1.5
767,2016-02-07,1.5
768,2016-02-08,1.5
769,2016-02-09,1.5
770,2016-02-10,1.5
771,2016-02-11,1.5
772,2016-02-12,1.5
773,2016-02-13,1.5
774,2016-02-14,1.5
775,2016-02-15,1.5
776,2016-02-16,1.5
777,2016-02-17,1.5
778,2016-02-18,1.5
779,2016-02-19,1.5
780,2016-02-20,1.5
781,2016-02-21,1.5
782,2016-02-22,1.5
783,2016-02-23,1.5
784,2016-02-24,1.5
785,2016-02-25,1.5
786,2016-02-26,1.5
787,2016-02-27,1.5
788,2016-02-28,1.5
789,2016-02-29,1.5
790,2016-03-01,1.5
791,2016-03-02,1.5
792,2016-03-03,1.5
793,2016-03-04,1.5
794,2016-03-05,1.5
795,2016-03-06,1.5
796,2016-03-07,1.5
797,2016-03-08,1.5
798,2016-03-09,1.5
799,2016-03-10,1.5
800,2016-03-11,1.5
801,2016-03-12,1.5
802,2016-03-13,1.5
803,2016-03-14,1.5
804,2016-03-15,1.5
805,2016-03-16,1.5
806,2016-03-17,1.5
807,2016-03-18,1.5
808,2016-03-19,1.5
809,2016-03-20,1.5
810,2016-03-21,1.5
811,2016-03-22,1.5
812,2016-03-23,1.5
813,2016-03-24,1.5
814,2016-03-25,1.5
815,2016-03-26,1.5
816,2016-03-27,1.5
817,2016-03-28,1.5
818,2016-03-29,1.5
819,2016-03-30,1.5
820,2016-03-31,1.5
821,2016-04-01,1.5
822,2016-04-02,1.5
823,2016-04-03,1.5
824,2016-04-04,1.5
825,2016-04-05,1.5
826,2016-04-06,1.5
827,2016-04-07,1.5
828,2016-04-08,1.5
829,2016-04-09,1.5
830,2016-04-10,1.5
831,2016-04-11,1.5
832,2016-04-12,1.5
833,2016-04-13,1.5
834,2016-04-14,1.5
835,2016-04-15,1.5
836,2016-04-16,1.5
837,2016-04-17,1.5
838,2016-04-18,1.5
839,2016-04-19,1.5
840,2016-04-20,1.5
841,2016-04-21,1.5
842,2016-04-22,1.5
843,2016-04-23,1.5
844,2016-04-24,1.5
845,2016-04-25,1.5
846,2016-04-26,1.5
847,2016-04-27,1.5
848,2016-04-28,1.5
849,2016-04-29,1.5
850,2016-04-30,1.5
851,2016-05-01,1.5
852,2016-05-02,1.5
853,2016-05-03,1.5
854,2016-05-04,1.5
855,2016-05-05,1.5
856,2016-05-06,1.5
857,2016-05-07,1.5
858,2016-05-08,1.5
859,2016-05-09,1.5
860,2016-05-10,1.5
861,2016-05-11,1.5
862,2016-05-12,1.5
863,2016-05-13,1.5
864,2016-05-14,1.5
865,2016-05-15,1.5
866,2016-05-16,1.5
867,2016-05-17,1.5
868,2016-05-18,1.5
869,2016-05-19,1.5
870,2016-05-20,1.5
871,2016-05-21,1.5
872,2016-05-22,1.5
873,2016-05-23,1.5
874,2016-05-24,1.5
875,2016-05-25,1.5
876,2016-05-26,1.5
877,2016-05-27,1.5
878,2016-05-28,1.5
879,2016-05-29,1.5
880,2016-05-30,1.5
881,2016-05-31,1.5
882,2016-06-01,1.5
883,2016-06-02,1.5
884,2016-06-03,1.5
885,2016-06-04,1.5
886,2016-06-05,1.5
887,2016-06-06,1.5
888,2016-06-07,1.5
889,2016-06-08,1.5
890,2016-06-09,1.25
891,2016-06-10,1.25
892,2016-06-11,1.25
893,2016-06-12,1.25
894,2016-06-13,1.25
895,2016-06-14,1.25
896,2016-06-15,1.25
897,2016-06-16,1.25
898,2016-06-17,1.25
899,2016-06-18,1.25
900,2016-06-19,1.25
901,2016-06-20,1.25
902,2016-06-21,1.25
903,2016-06-22,1.25
904,2016-06-23,1.25
905,2016-06-24,1.25
906,2016-06-25,1.25
907,2016-06-26,1.25
908,2016-06-27,1.25
909,2016-06-28,1.25
910,2016-06-29,1.25
911,2016-06-30,1.25
912,2016-07-01,1.25
913,2016-07-02,1.25
914,2016-07-03,1.25
915,2016-07-04,1.25
916,2016-07-05,1.25
917,2016-07-06,1.25
918,2016-07-07,1.25
919,2016-07-08,1.25
920,2016-07-09,1.25
921,2016-07-10,1.25
922,2016-07-11,1.25
923,2016-07-12,1.25
924,2016-07-13,1.25
925,2016-07-14,1.25
926,2016-07-15,1.25
927,2016-07-16,1.25
928,2016-07-17,1.25
929,2016-07-18,1.25
930,2016-07-19,1.25
931,2016-07-20,1.25
932,2016-07-21,1.25
933,2016-07-22,1.25
934,2016-07-23,1.25
935,2016-07-24,1.25
936,2016-07-25,1.25
937,2016-07-26,1.25
938,2016-07-27,1.25
939,2016-07-28,1.25
940,2016-07-29,1.25
941,2016-07-30,1.25
942,2016-07-31,1.25
943,2016-08-01,1.25
944,2016-08-02,1.25
945,2016-08-03,1.25
946,2016-08-04,1.25
947,2016-08-05,1.25
948,2016-08-06,1.25
949,2016-08-07,1.25
950,2016-08-08,1.25
951,2016-08-09,1.25
952,2016-08-10,1.25
953,2016-08-11,1.25
954,2016-08-12,1.25
955,2016-08-13,1.25
956,2016-08-14,1.25
957,2016-08-15,1.25
958,2016-08-16,1.25
959,2016-08-17,1.25
960,2016-08-18,1.25
961,2016-08-19,1.25
962,2016-08-20,1.25
963,2016-08-21,1.25
964,2016-08-22,1.25
965,2016-08-23,1.25
966,2016-08-24,1.25
967,2016-08-25,1.25
968,2016-08-26,1.25
969,2016-08-27,1.25
970,2016-08-28,1.25
971,2016-08-29,1.25
972,2016-08-30,1.25
973,2016-08-31,1.25
974,2016-09-01,1.25
975,2016-09-02,1.25
976,2016-09-03,1.25
977,2016-09-04,1.25
978,2016-09-05,1.25
979,2016-09-06,1.25
980,2016-09-07,1.25
981,2016-09-08,1.25
982,2016-09-09,1.25
983,2016-09-10,1.25
984,2016-09-11,1.25
985,2016-09-12,1.25
986,2016-09-13,1.25
987,2016-09-14,1.25
988,2016-09-15,1.25
989,2016-09-16,1.25
990,2016-09-17,1.25
991,2016-09-18,1.25
992,2016-09-19,1.25
993,2016-09-20,1.25
994,2016-09-21,1.25
995,2016-09-22,1.25
996,2016-09-23,1.25
997,2016-09-24,1.25
998,2016-09-25,1.25
999,2016-09-26,1.25
1000,2016-09-27,1.25
1001,2016-09-28,1.25
1002,2016-09-29,1.25
1003,2016-09-30,1.25
1004,2016-10-01,1.25
1005,2016-10-02,1.25
1006,2016-10-03,1.25
1007,2016-10-04,1.25
1008,2016-10-05,1.25
1009,2016-10-06,1.25
1010,2016-10-07,1.25
1011,2016-10-08,1.25
1012,2016-10-09,1.25
1013,2016-10-10,1.25
1014,2016-10-11,1.25
1015,2016-10-12,1.25
1016,2016-10-13,1.25
1017,2016-10-14,1.25
1018,2016-10-15,1.25
1019,2016-10-16,1.25
1020,2016-10-17,1.25
1021,2016-10-18,1.25
1022,2016-10-19,1.25
1023,2016-10-20,1.25
1024,2016-10-21,1.25
1025,2016-10-22,1.25
1026,2016-10-23,1.25
1027,2016-10-24,1.25
1028,2016-10-25,1.25
1029,2016-10-26,1.25
1030,2016-10-27,1.25
1031,2016-10-28,1.25
1032,2016-10-29,1.25
1033,2016-10-30,1.25
1034,2016-10-31,1.25
1035,2016-11-01,1.25
1036,2016-11-02,1.25
1037,2016-11-03,1.25
1038,2016-11-04,1.25
1039,2016-11-05,1.25
1040,2016-11-06,1.25
1041,2016-11-07,1.25
1042,2016-11-08,1.25
1043,2016-11-09,1.25
1044,2016-11-10,1.25
1045,2016-11-11,1.25
1046,2016-11-12,1.25
1047,2016-11-13,1.25
1048,2016-11-14,1.25
1049,2016-11-15,1.25
1050,2016-11-16,1.25
1051,2016-11-17,1.25
1052,2016-11-18,1.25
1053,2016-11-19,1.25
1054,2016-11-20,1.25
1055,2016-11-21,1.25
1056,2016-11-22,1.25
1057,2016-11-23,1.25
1058,2016-11-24,1.25
1059,2016-11-25,1.25
